Year,NumofShip,Newbuilding,Scrap
2021,5200,260,260
2022,5252,312,260
2023,5304,312,260
2024,5357,313,260
2025,5410,313,260
2026,5464,314,260
2027,5518,314,260
2028,5573,315,260
2029,5628,315,260
2030,5684,316,260
2031,5740,316,260
2032,5797,317,260
2033,5854,317,260
2034,5912,318,260
2035,5971,319,260
2036,6030,319,260
2037,6090,320,260
2038,6150,320,260
2039,6211,321,260
2040,6273,322,260
2041,6335,322,260
2042,6398,323,312
2043,6461,375,312
2044,6525,376,313
2045,6590,378,313
2046,6655,378,314
2047,6721,380,314
2048,6788,381,315
2049,6855,382,315
2050,6923,383,316
2051,6992,385,316
2052,7061,385,317
2053,7131,387,317
2054,7202,388,318
2055,7274,390,319
2056,7346,391,319
2057,7419,392,320
2058,7493,394,320
2059,7567,394,321
2060,7642,396,322
2061,7718,398,322
2062,7795,399,323
2063,7872,400,375
2064,7950,453,376
2065,8029,455,378
2066,8109,458,378
2067,8190,459,380
2068,8271,461,381
2069,8353,463,382
2070,8436,465,383
